Sample1	Sample2	Distance	Mismatches
01-R1134-LR-Asm	DNA120-LR-Asm	12789.00	0.01268
01-R1134-LR-Asm	DNA124-LR-Asm	12735.00	0.01049
01-R1134-LR-Asm	DNA182-LR-Asm	12936.00	0.01254
01-R1134-LR-Asm	DNA188-LR-Asm	13153.00	0.01574
01-R1134-LR-Asm	Erdman-ATCC-35801	13181.00	0.01842
01-R1134-LR-Asm	FDAARGOS-750	13544.00	0.01631
01-R1134-LR-Asm	FDAARGOS-751	14460.00	0.02709
01-R1134-LR-Asm	FDAARGOS-756	13473.00	0.02084
01-R1134-LR-Asm	FDAARGOS-757	12917.00	0.01207
01-R1134-LR-Asm	GCF1-0084P6C4	13529.00	0.02002
01-R1134-LR-Asm	GCF4-0096P6C4	13511.00	0.02081
01-R1134-LR-Asm	H107	12882.00	0.01168
01-R1134-LR-Asm	H112	13472.00	0.02137
01-R1134-LR-Asm	H37Ra	12961.00	0.01357
01-R1134-LR-Asm	H37Rv-1	12916.00	0.01202
01-R1134-LR-Asm	H54	13506.00	0.02013
01-R1134-LR-Asm	H83	13121.00	0.01503
01-R1134-LR-Asm	HN-024	14376.00	0.03059
01-R1134-LR-Asm	HN-205	13524.00	0.02121
01-R1134-LR-Asm	HN-321	13469.00	0.01991
01-R1134-LR-Asm	HN-506	13469.00	0.02078
01-R1134-LR-Asm	I0003447-5	12808.00	0.01088
01-R1134-LR-Asm	ITM-1968-01344	14589.00	0.02783
01-R1134-LR-Asm	ITM-1992-08557	14497.00	0.02934
01-R1134-LR-Asm	ITM-1999-01508	12695.00	0.01109
01-R1134-LR-Asm	ITM-2000-00448	12720.00	0.01098
01-R1134-LR-Asm	ITM-2002-00926	12782.00	0.01204
01-R1134-LR-Asm	ITM-2003-01539	12949.00	0.01398
01-R1134-LR-Asm	ITM-2004-01893	12792.00	0.01220
01-R1134-LR-Asm	ITM-2005-02460	13201.00	0.01671
01-R1134-LR-Asm	ITM-2015-00021	14515.00	0.03553
01-R1134-LR-Asm	ITM-2021-00504	14574.00	0.03445
01-R1134-LR-Asm	ITM-2021-02250	14763.00	0.04318
01-R1134-LR-Asm	Kurono	12791.00	0.01267
01-R1134-LR-Asm	M0003941-3-LR-Asm	13541.00	0.01994
01-R1134-LR-Asm	M0010874-7-LR-Asm	12966.00	0.01517
01-R1134-LR-Asm	M0014888-3-LR-Asm	13123.00	0.01670
01-R1134-LR-Asm	M0016395-7-LR-Asm	13018.00	0.01579
01-R1134-LR-Asm	M0016737-0-LR-Asm	13040.00	0.01227
01-R1134-LR-Asm	M0017522-5-LR-Asm	13176.00	0.01264
01-R1134-LR-Asm	M20	12887.00	0.01562
01-R1134-LR-Asm	mada-102-LR-Asm	13124.00	0.01907
01-R1134-LR-Asm	mada-103-LR-Asm	12839.00	0.01007
01-R1134-LR-Asm	mada-105-LR-Asm	13149.00	0.01508
01-R1134-LR-Asm	mada-107-LR-Asm	14504.00	0.02704
01-R1134-LR-Asm	mada-1-10-LR-Asm	14555.00	0.02840
01-R1134-LR-Asm	mada-1-11-LR-Asm	13488.00	0.02039
01-R1134-LR-Asm	mada-1-12-LR-Asm	12744.00	0.01117
01-R1134-LR-Asm	mada-112-LR-Asm	12842.00	0.01011
01-R1134-LR-Asm	mada-1-15-LR-Asm	12902.00	0.01191
01-R1134-LR-Asm	mada-115-LR-Asm	13522.00	0.02079
01-R1134-LR-Asm	mada-117-LR-Asm	14516.00	0.02836
01-R1134-LR-Asm	mada-118-LR-Asm	14531.00	0.02787
01-R1134-LR-Asm	mada-1-1-LR-Asm	14493.00	0.02948
01-R1134-LR-Asm	mada-120-LR-Asm	12734.00	0.01447
01-R1134-LR-Asm	mada-122-LR-Asm	14564.00	0.02842
01-R1134-LR-Asm	mada-123-LR-Asm	12835.00	0.01356
01-R1134-LR-Asm	mada-124-LR-Asm	12856.00	0.01130
01-R1134-LR-Asm	mada-126-LR-Asm	12731.00	0.01426
01-R1134-LR-Asm	mada-128-LR-Asm	12894.00	0.01337
01-R1134-LR-Asm	mada-129-LR-Asm	13197.00	0.01735
01-R1134-LR-Asm	mada-1-30-LR-Asm	13685.00	0.01979
01-R1134-LR-Asm	mada-1-32-LR-Asm	13144.00	0.01380
01-R1134-LR-Asm	mada-1-36-LR-Asm	14543.00	0.02860
01-R1134-LR-Asm	mada-1-38-LR-Asm	12811.00	0.01250
01-R1134-LR-Asm	mada-1-39-LR-Asm	14592.00	0.02942
01-R1134-LR-Asm	mada-139-LR-Asm	13173.00	0.01857
01-R1134-LR-Asm	mada-1-40-LR-Asm	14579.00	0.02898
01-R1134-LR-Asm	mada-1-41-LR-Asm	13200.00	0.01575
01-R1134-LR-Asm	mada-1-44-LR-Asm	14551.00	0.02863
01-R1134-LR-Asm	mada-1-50-LR-Asm	12807.00	0.01082
01-R1134-LR-Asm	mada-1-51-LR-Asm	14540.00	0.02801
01-R1134-LR-Asm	mada-151-LR-Asm	13119.00	0.01771
01-R1134-LR-Asm	mada-1-53-LR-Asm	12811.00	0.01080
01-R1134-LR-Asm	mada-2-1-LR-Asm	12674.00	0.00967
01-R1134-LR-Asm	mada-2-25-LR-Asm	12834.00	0.01263
01-R1134-LR-Asm	mada-2-31-LR-Asm	13205.00	0.01575
01-R1134-LR-Asm	mada-2-42-LR-Asm	13540.00	0.02033
01-R1134-LR-Asm	mada-2-46-LR-Asm	14553.00	0.03017
01-R1134-LR-Asm	mada-2-53-LR-Asm	12811.00	0.01079
01-R1134-LR-Asm	Maus3	14431.00	0.03851
01-R1134-LR-Asm	Maus4	14520.00	0.03842
01-R1134-LR-Asm	Mb3601	14732.00	0.03966
01-R1134-LR-Asm	MFS-173-LR-Asm	13505.00	0.02157
01-R1134-LR-Asm	MFS-181-LR-Asm	12797.00	0.01145
01-R1134-LR-Asm	MFS-42-LR-Asm	13527.00	0.01990
01-R1134-LR-Asm	MFS-51-LR-Asm	13503.00	0.02044
01-R1134-LR-Asm	MFS-54-LR-Asm	13498.00	0.02032
01-R1134-LR-Asm	MFS-56-LR-Asm	13155.00	0.01334
01-R1134-LR-Asm	MFS-58-LR-Asm	13485.00	0.02026
01-R1134-LR-Asm	MFS-60-LR-Asm	12796.00	0.01145
01-R1134-LR-Asm	MT-0080-LR-Asm	13160.00	0.01581
01-R1134-LR-Asm	MTB1	12891.00	0.01142
01-R1134-LR-Asm	MTB2	13505.00	0.02050
01-R1134-LR-Asm	M-tuberculosis-H37Rv-2015	12980.00	0.01233
01-R1134-LR-Asm	N0004-LR-Asm	13572.00	0.01726
01-R1134-LR-Asm	N0054-LR-Asm	13543.00	0.01682
01-R1134-LR-Asm	N0069	14465.00	0.02974
01-R1134-LR-Asm	N0072	14504.00	0.02778
01-R1134-LR-Asm	N0091-LR-Asm	14680.00	0.03665
01-R1134-LR-Asm	N0145-LR-Asm	13490.00	0.02046
01-R1134-LR-Asm	N0153-LR-Asm	14376.00	0.03412
01-R1134-LR-Asm	N0155-LR-Asm	13512.00	0.01994
01-R1134-LR-Asm	N0157	14480.00	0.03316
01-R1134-LR-Asm	N1176-LR-Asm	14613.00	0.02947
01-R1134-LR-Asm	N1177-LR-Asm	14659.00	0.03562
01-R1134-LR-Asm	N1201	14671.00	0.03559
01-R1134-LR-Asm	N1202-LR-Asm	14641.00	0.03529
01-R1134-LR-Asm	N1268	14649.00	0.02928
01-R1134-LR-Asm	N1272-LR-Asm	14407.00	0.02541
01-R1134-LR-Asm	N1274-LR-Asm	13739.00	0.01952
01-R1134-LR-Asm	N1283	13221.00	0.01693
01-R1134-LR-Asm	N3913	14416.00	0.03013
01-R1134-LR-Asm	NCGM946K2	12850.00	0.02048
01-R1134-LR-Asm	Orygis	14696.00	0.04274
01-R1134-LR-Asm	OV254	14479.00	0.04014
01-R1134-LR-Asm	OW052189-1	13531.00	0.02018
01-R1134-LR-Asm	OW052302-1	13676.00	0.01929
01-R1134-LR-Asm	OW052570-1	14471.00	0.02975
01-R1134-LR-Asm	OW052571-1	12673.00	0.00953
01-R1134-LR-Asm	QC-10-LR-Asm	13199.00	0.01897
01-R1134-LR-Asm	QC-1-LR-Asm	12979.00	0.01532
01-R1134-LR-Asm	QC-3-LR-Asm	13592.00	0.01695
01-R1134-LR-Asm	QC-4-LR-Asm	13188.00	0.01851
01-R1134-LR-Asm	QC-5-LR-Asm	13591.00	0.01693
01-R1134-LR-Asm	QC-6-LR-Asm	12997.00	0.01542
01-R1134-LR-Asm	QC-7-LR-Asm	13081.00	0.01896
01-R1134-LR-Asm	QC-8-LR-Asm	13187.00	0.01854
01-R1134-LR-Asm	QC-9-LR-Asm	13600.00	0.01745
01-R1134-LR-Asm	R15311-LR-Asm	12913.00	0.01471
01-R1134-LR-Asm	R18040-LR-Asm	13502.00	0.02140
01-R1134-LR-Asm	R18043-LR-Asm	13503.00	0.02143
01-R1134-LR-Asm	R20574-LR-Asm	13507.00	0.02097
01-R1134-LR-Asm	R21408-LR-Asm	13513.00	0.02103
01-R1134-LR-Asm	R21770-LR-Asm	13168.00	0.01416
01-R1134-LR-Asm	R21839-LR-Asm	13147.00	0.01634
01-R1134-LR-Asm	R21893-LR-Asm	13516.00	0.02162
01-R1134-LR-Asm	R22601-LR-Asm	13508.00	0.02147
01-R1134-LR-Asm	R23146-LR-Asm	13507.00	0.02172
01-R1134-LR-Asm	R23887-LR-Asm	14528.00	0.02739
01-R1134-LR-Asm	R24100-LR-Asm	13505.00	0.02052
01-R1134-LR-Asm	R25048-LR-Asm	13491.00	0.02113
01-R1134-LR-Asm	R26778-LR-Asm	13510.00	0.02140
01-R1134-LR-Asm	R26791-LR-Asm	13507.00	0.02097
01-R1134-LR-Asm	R27252-LR-Asm	14543.00	0.02713
01-R1134-LR-Asm	R27657-LR-Asm	13526.00	0.01988
01-R1134-LR-Asm	R27725-LR-Asm	13507.00	0.02102
01-R1134-LR-Asm	R27937-LR-Asm	13507.00	0.02143
01-R1134-LR-Asm	R28012-LR-Asm	13526.00	0.01988
01-R1134-LR-Asm	R28703-LR-Asm	13532.00	0.02000
01-R1134-LR-Asm	R28980-LR-Asm	13511.00	0.02168
01-R1134-LR-Asm	R29816-LR-Asm	13528.00	0.01997
01-R1134-LR-Asm	R30078-LR-Asm	13526.00	0.01989
01-R1134-LR-Asm	R30215-LR-Asm	13500.00	0.01981
01-R1134-LR-Asm	R30234-LR-Asm	13530.00	0.01988
01-R1134-LR-Asm	R30396-LR-Asm	13171.00	0.01401
01-R1134-LR-Asm	R30420-LR-Asm	13513.00	0.02096
01-R1134-LR-Asm	R31095-LR-Asm	13536.00	0.01990
01-R1134-LR-Asm	R32929-LR-Asm	13517.00	0.02091
01-R1134-LR-Asm	R36431-LR-Asm	13525.00	0.01978
01-R1134-LR-Asm	R37765-LR-Asm	13522.00	0.02030
01-R1134-LR-Asm	RW-TB008-LR-Asm	14403.00	0.03266
01-R1134-LR-Asm	SEA02010036	13507.00	0.01957
01-R1134-LR-Asm	SEA06535P6C4	13145.00	0.01602
01-R1134-LR-Asm	SEA07010354P6C4	13703.00	0.01822
01-R1134-LR-Asm	SEA07020250P6C4	12966.00	0.01237
01-R1134-LR-Asm	SEA08151P6C4	14547.00	0.02791
01-R1134-LR-Asm	SEA08162P6C4	12966.00	0.01319
01-R1134-LR-Asm	SEA09020048P6C4	12688.00	0.01094
01-R1134-LR-Asm	SEA11020038P6C4	12799.00	0.01471
01-R1134-LR-Asm	SEA11020057P6C4	12761.00	0.00869
01-R1134-LR-Asm	SEA11020068P6C4	13136.00	0.01922
01-R1134-LR-Asm	SEA11020092P6C4	12753.00	0.01124
01-R1134-LR-Asm	SEA11278P6C4	14397.00	0.03016
01-R1134-LR-Asm	SEA12126P6C4	14453.00	0.03032
01-R1134-LR-Asm	SEA12202P6C4	14470.00	0.02771
01-R1134-LR-Asm	SEA12334P6C4	14436.00	0.02836
01-R1134-LR-Asm	SEA13020298	13456.00	0.01856
01-R1134-LR-Asm	SEA13111P6C4	14413.00	0.02903
01-R1134-LR-Asm	SEA14117P6C4	13485.00	0.02203
01-R1134-LR-Asm	SEA14318P6C4	14505.00	0.02745
01-R1134-LR-Asm	SEA14333P6C4	14438.00	0.03118
01-R1134-LR-Asm	SEA15228P6C4	14456.00	0.02993
01-R1134-LR-Asm	SEA15229P6C4	14516.00	0.02784
01-R1134-LR-Asm	SEA15230P6C4	14467.00	0.02783
01-R1134-LR-Asm	SEA17020023P6C4	14412.00	0.02897
01-R1134-LR-Asm	SEA17020024P6C4	14411.00	0.02892
01-R1134-LR-Asm	SEA17020028	13520.00	0.02005
01-R1134-LR-Asm	SEA17020030P6C4	13155.00	0.01500
01-R1134-LR-Asm	SGF0232017	13537.00	0.02050
01-R1134-LR-Asm	SGF0422017	13488.00	0.02341
01-R1134-LR-Asm	SGF0472017	13517.00	0.02038
01-R1134-LR-Asm	SGF0702019	13476.00	0.01991
01-R1134-LR-Asm	strain-01-R1134	11886.00	0.00010
01-R1134-LR-Asm	strain-01-R1430	12836.00	0.01068
01-R1134-LR-Asm	strain-02-R0894	13188.00	0.01776
01-R1134-LR-Asm	strain-02-R1179	12938.00	0.01265
01-R1134-LR-Asm	strain-02-R1708	13194.00	0.01694
01-R1134-LR-Asm	strain-02-R1896	12785.00	0.00864
01-R1134-LR-Asm	strain-1-0150P6C4	13488.00	0.02034
01-R1134-LR-Asm	strain-1-0165P6C4	13183.00	0.01709
01-R1134-LR-Asm	strain-1-0170P6C4	13498.00	0.02096
01-R1134-LR-Asm	strain-15	13109.00	0.01290
01-R1134-LR-Asm	strain-17221	12854.00	0.01325
01-R1134-LR-Asm	strain-1	13728.00	0.02450
01-R1134-LR-Asm	strain-2-0011P6C4	13503.00	0.01981
01-R1134-LR-Asm	strain-2-0026P6C4	13232.00	0.01463
01-R1134-LR-Asm	strain-2-0111P6C4	13240.00	0.01523
01-R1134-LR-Asm	strain-25421	13619.00	0.01998
01-R1134-LR-Asm	strain-3320	13620.00	0.01984
01-R1134-LR-Asm	strain-3	13507.00	0.02136
01-R1134-LR-Asm	strain-4-0083P6C4	13146.00	0.01425
01-R1134-LR-Asm	strain-5521	13657.00	0.02086
01-R1134-LR-Asm	strain-6721	13524.00	0.02111
01-R1134-LR-Asm	strain-6	13092.00	0.01273
01-R1134-LR-Asm	strain-8	13522.00	0.02041
01-R1134-LR-Asm	strain-9	13503.00	0.01995
01-R1134-LR-Asm	strain-A16	14663.00	0.04161
01-R1134-LR-Asm	strain-AST-T2	13050.00	0.01561
01-R1134-LR-Asm	strain-AST-T3	12903.00	0.01404
01-R1134-LR-Asm	strain-AST-T4	13014.00	0.01397
01-R1134-LR-Asm	strain-AST-T5	13490.00	0.02179
01-R1134-LR-Asm	strain-AST-T6	13020.00	0.01315
01-R1134-LR-Asm	strain-AST-T7	13038.00	0.01847
01-R1134-LR-Asm	strain-BLR-4299-2019	12785.00	0.01061
01-R1134-LR-Asm	strain-CA01	13375.00	0.02169
01-R1134-LR-Asm	strain-CA02	13382.00	0.02188
01-R1134-LR-Asm	strain-CA03	13393.00	0.02143
01-R1134-LR-Asm	strain-CB01	13399.00	0.02154
01-R1134-LR-Asm	strain-CB02	13389.00	0.02131
01-R1134-LR-Asm	strain-CB03	13413.00	0.02122
01-R1134-LR-Asm	strain-CDC1551	13193.00	0.01427
01-R1134-LR-Asm	strain-H-19-0007	14497.00	0.02724
01-R1134-LR-Asm	strain-H-19-0008	14478.00	0.02652
01-R1134-LR-Asm	strain-H-19-0027	14500.00	0.02736
01-R1134-LR-Asm	strain-H-20-0022	14503.00	0.02915
01-R1134-LR-Asm	strain-H-20-0024	14481.00	0.02737
01-R1134-LR-Asm	strain-H-21-0019	14502.00	0.02974
01-R1134-LR-Asm	strain-I0003165-3	12966.00	0.01517
01-R1134-LR-Asm	strain-I0003270-1	13040.00	0.01227
01-R1134-LR-Asm	strain-I0003758-5	13176.00	0.01264
01-R1134-LR-Asm	strain-I0004240-3	13123.00	0.01670
01-R1134-LR-Asm	strain-I0004290-8	13018.00	0.01579
01-R1134-LR-Asm	strain-L	12797.00	0.01141
01-R1134-LR-Asm	strain-LP-0106963-RM1	12951.00	0.01204
01-R1134-LR-Asm	strain-LP-0106963-RM2	12952.00	0.01204
01-R1134-LR-Asm	strain-LP-0106963-RM3	12953.00	0.01205
01-R1134-LR-Asm	strain-LP-0106967-RM5	12953.00	0.01204
01-R1134-LR-Asm	strain-LP-0107828-RM1	12956.00	0.01206
01-R1134-LR-Asm	strain-LP-0107828-RM5	12945.00	0.01202
01-R1134-LR-Asm	strain-LP-0107828-RM6	12953.00	0.01204
01-R1134-LR-Asm	strain-LP-0257184-RM3	12951.00	0.01203
01-R1134-LR-Asm	strain-LP-0257184-RM4	12952.00	0.01204
01-R1134-LR-Asm	strain-LP-0257184-RM5	12961.00	0.01208
01-R1134-LR-Asm	strain-LP-0257184-RM6	12958.00	0.01207
01-R1134-LR-Asm	strain-LP-0261867-RM1	12952.00	0.01205
01-R1134-LR-Asm	strain-LP-0261867-RM5	12949.00	0.01203
01-R1134-LR-Asm	strain-LP-0261867-RM7	12952.00	0.01204
01-R1134-LR-Asm	strain-LP-0333226-RM2	12943.00	0.01200
01-R1134-LR-Asm	strain-LP-0333226-RM3	12949.00	0.01200
01-R1134-LR-Asm	strain-LP-0474076-RM1	12939.00	0.01197
01-R1134-LR-Asm	strain-LP-0474076-RM2	12941.00	0.01198
01-R1134-LR-Asm	strain-LP-0474076-RM3	12937.00	0.01196
01-R1134-LR-Asm	strain-LP-0497747-RM1	12932.00	0.01195
01-R1134-LR-Asm	strain-LP-0504061-RM2	12932.00	0.01194
01-R1134-LR-Asm	strain-LP-0504069-RM2	12930.00	0.01194
01-R1134-LR-Asm	strain-M0003941-3	13541.00	0.01994
01-R1134-LR-Asm	strain-M64	13347.00	0.02567
01-R1134-LR-Asm	strain-MasanXDR-01	13765.00	0.02777
01-R1134-LR-Asm	strain-MasanXDR-02	14282.00	0.03806
01-R1134-LR-Asm	strain-MasanXDR-03	13954.00	0.03583
01-R1134-LR-Asm	strain-MasanXDR-04	14164.00	0.04008
01-R1134-LR-Asm	strain-MasanXDR-05	13845.00	0.03091
01-R1134-LR-Asm	strain-mc26030	12904.00	0.01442
01-R1134-LR-Asm	strain-MTBCR170001	14507.00	0.02836
01-R1134-LR-Asm	strain-MTBCR170020	14469.00	0.02712
01-R1134-LR-Asm	strain-MTBCR170027	14490.00	0.02666
01-R1134-LR-Asm	strain-MTBCR170031	14456.00	0.03010
01-R1134-LR-Asm	strain-MTBCR170913	14523.00	0.03183
01-R1134-LR-Asm	strain-MTBCR170941	13630.00	0.02423
01-R1134-LR-Asm	strain-MTb-Oman-3211198	14621.00	0.03961
01-R1134-LR-Asm	strain-MTb-Oman-3211379	13225.00	0.04487
01-R1134-LR-Asm	strain-MTb-Oman-3211380	13273.00	0.04549
01-R1134-LR-Asm	strain-MTb-Oman-3211392	14361.00	0.06163
01-R1134-LR-Asm	strain-MTb-Oman-3211453	14653.00	0.03639
01-R1134-LR-Asm	strain-MTb-Oman-3211517	14593.00	0.04368
01-R1134-LR-Asm	strain-MTb-Oman-3211622	14590.00	0.04013
01-R1134-LR-Asm	strain-MTb-Oman-3211956	14523.00	0.03981
01-R1134-LR-Asm	strain-MTb-Oman-3212387	13763.00	0.04092
01-R1134-LR-Asm	strain-MTb-Oman-3212401	13868.00	0.02562
01-R1134-LR-Asm	strain-MTb-Oman-3212598	14472.00	0.04005
01-R1134-LR-Asm	strain-MTb-Oman-321262	13358.00	0.04717
01-R1134-LR-Asm	strain-MTb-Oman-3212705	13707.00	0.05024
01-R1134-LR-Asm	strain-MTb-Oman-3212927	12298.00	0.03730
01-R1134-LR-Asm	strain-MTb-Oman-3213034	11500.00	0.07328
01-R1134-LR-Asm	strain-Mtb-Oman-3213118	14449.00	0.04167
01-R1134-LR-Asm	strain-MTb-Oman-3213123	12326.00	0.08194
01-R1134-LR-Asm	strain-MTb-Oman-3213167	13145.00	0.04702
01-R1134-LR-Asm	strain-MTb-Oman-3213169	12203.00	0.03810
